,label,emotion,count
0,外观好,1,403
1,产品质量好,1,909
2,性价比高/价格实惠/价格低,1,173
3,产品环保,1,1
4,品牌好,1,421
5,方便购买,1,125
6,外观差,-1,86
7,产品质量差,-1,297
8,性价比低/价格高,-1,136
9,不方便购买,-1,264
10,推荐方式,0,74
11,有防伪/防伪好用,1,3
12,防伪差/难判断真伪,-1,46
13,购买渠道,0,461
14,coil/pod材质好,1,14
15,liquid/oil质量好,1,132
16,coil/pod材质差,-1,39
17,liquid/oil质量差,-1,31
18,liquid/oil太少或容量小,-1,12
19,coil/pod接触差,-1,44
20,电池易用,1,174
21,电池续航好,1,181
22,电池安全,1,13
23,电池不易用,-1,34
24,电池续航差,-1,79
25,电池不安全,-1,7
26,电池质量差,-1,69
27,不可充电/电池无法使用,-1,40
28,预热时间长,-1,0
29,预热操作复杂,-1,0
30,不需要预热功能,-1,4
31,调温好,1,7
32,调气道好,1,6
33,调压好,1,0
34,按键好用,1,2
35,好操作/操作方便,1,157
36,调温差,-1,13
37,调气道差,-1,5
38,调压差,-1,11
39,按键难用,-1,4
40,操作难/操作复杂,-1,42
41,烟雾量合适/烟雾量大,1,160
42,有提示,1,105
43,不堵塞,1,71
44,不漏油,1,72
45,味道好,1,164
46,口感好,1,100
47,hit好,1,133
48,high/上头,1,278
49,烟雾量太大/烟雾量太小,-1,50
50,堵塞,-1,50
51,漏油,-1,46
52,liquid/oil剩余或浪费,-1,43
53,味道差,-1,50
54,hit差,-1,79
55,不high/不上头,-1,57
56,抽吸方式,0,220
57,防水,1,18
58,手感好,1,57
59,便携,1,210
60,存放/携带时堵塞,-1,31
61,存放/携带时漏油,-1,34
62,味道散/味道大,-1,24
63,存放/携带时变质,-1,26
64,手感差,-1,67
65,不便携,-1,70
66,party/聚会,0,26
67,游乐园,0,12
68,上飞机/过安检,0,13
69,家里/室内,0,44
70,街头,0,22
71,酒吧,0,14
72,坐车/开车,0,21
73,徒步,0,22
74,休闲/娱乐,0,193
75,戒烟,0,30
76,情绪缓解/缓解焦虑,0,94
