,source,date,comment
0,stiiizy-iheartjane,2023年3月13日,It wasnâ€™t like the one in the picture but Iâ€™m still satisfied tho
1,stiiizy-iheartjane,2022年10月21日,This is fine it's their website that sucks.
2,stiiizy-iheartjane,2022年8月27日,Very good battery but the product I used was trainwreak with that battery 10/10..
3,stiiizy-iheartjane,2022年5月30日,Badass battery. Go Biiig or go home!
4,stiiizy-iheartjane,2021年11月29日,Fix your website. It said to drop by between 9 and 10 and you were closed. Total BS.
5,stiiizy-iheartjane,2021年6月22日,this battery hits hard if you are looking for a good dab pen
6,stiiizy-iheartjane,2021年3月13日,Nice big clouds. Long lasting battery. Just what you need my high tolerance friends
7,stiiizy-iheartjane,2021年3月11日,Easy use
8,stiiizy-iheartjane,2021年1月3日,Love it
9,stiiizy-iheartjane,2020年12月16日,"Battery lasts about 3 days and so easy to take it on the go, also very small for pockets"
10,stiiizy-iheartjane,2020年11月25日,Love the big stiiizy! It charges quickly and has a long battery life. The pods click in easily and fit very secure. My brother pulled one out to show someone and my 8 year old walked in and asked what it was. I was able to quickly convince her that it was like a Roku or Fire stick type thing with 0 questions lol so it works out great if youâ€™re needing to be discreet.
11,stiiizy-iheartjane,2020年9月15日,Works wonders! Gives me pretty good hits compared to a 510 or regular Stiiizy batteries. Would Highly recommend!
12,stiiizy-iheartjane,2020年6月7日,good battery last long
13,stiiizy-iheartjane,2020年5月12日,A+
14,stiiizy-iheartjane,2020年5月11日,Battery size is very compact and discreet. Love the size and shape.
15,stiiizy-iheartjane,2020年3月28日,Itâ€™s sleek and a little more discreet. Packs a good punch. Iâ€™ve tried many 510 thread batteries but they would always break or voltage wasnâ€™t strong e0ugh. So I finally gave in to getting A pod type battery. Definitely happy with my purchase.
16,stiiizy-iheartjane,2023年9月3日,First time buying the Stiiizy brand. Great experience!
17,stiiizy-iheartjane,2023年7月29日,"IMO..They Are Cheap And Taste Nasty I mean leave a bad taste in your throat., Also I Din0 About The Slick Ass Batteris I Cant Seem To Hold On To Them.PSssssT..Batttey does 0t stay Charged Very Long Either.."
18,stiiizy-iheartjane,2023年5月22日,Would definitely buy again ðŸ‘ðŸ¼
19,stiiizy-iheartjane,2023年3月31日,It is a very piney gassy pod! I like that even tho itâ€™s a indica strain it doesnâ€™t make you sleepy to the extent of being stuck. You can definitely shop and hit this pod
20,stiiizy-iheartjane,2022年11月22日,I loved dosi. Best flavor.
21,stiiizy-iheartjane,2022年11月9日,"Do-si-dos has been my favorite stizzy carts for a long time. It's best after work before dinner - I relax, I get hungry, and I sleep well."
22,stiiizy-iheartjane,2022年10月31日,"I remember this feeling like a traditional hybrid and didn't 0tice the indica too much.

The experience will vary, person to person but for those that prefer indica... this may 0t be the best option. This is probably good for social stuff."
23,stiiizy-iheartjane,2022年5月14日,Second time Iâ€™ve bought the dosidos and does 0t workâ€¦
24,stiiizy-iheartjane,2022年4月2日,I enjoy this strain very much
25,stiiizy-iheartjane,2022年4月2日,Listed as Indica but package said hybrid. Assume it is an Indica dominant plant. Best for relaxing and sleeping.
26,stiiizy-iheartjane,2022年3月28日,"It made me feel energetic, hungry and hard to sit still at times. I donâ€™t mind it when Iâ€™m having a productive day, but when youâ€™re playing video games, this fades really quick."
27,stiiizy-iheartjane,2022年2月25日,itâ€™s one of my faves!
28,stiiizy-iheartjane,2022年2月24日,"This pod is a distillate oil, this is meant for road trips and getting out of your 0rmal head space! The vanilla flavor along with some nutty 0tes too makes this a dope ass high experience! Rip it and head over to grab a coffee or take a scooter ride through the neighborhood, pick this pod up with that GIRL SCOUT GREEN battery and head out on adventure with this STIIZY! ðŸª"
29,stiiizy-iheartjane,2022年1月28日,"Read a good book after a few hits, would recommend"
30,stiiizy-iheartjane,2021年12月2日,Sweet flavor
31,stiiizy-iheartjane,2021年8月24日,Great
32,stiiizy-iheartjane,2021年8月15日,Dosidos is the best :)
33,stiiizy-iheartjane,2021年3月18日,Like 90% thc one of the highest
34,stiiizy-iheartjane,2020年9月9日,Great service
35,stiiizy-iheartjane,2020年9月1日,this is my favorite flavor and it keeps me going with both energy and relaxation during the day
36,stiiizy-iheartjane,2020年7月2日,Checked the QR code and it said it was the second one with the same code and itâ€™s 0t suppose to be like that each one has a unique code thatâ€™s y is 1:1
37,stiiizy-iheartjane,2020年6月18日,Quality product for a fair price. You get what you need at a fraction of the price of their competition. Would def recommend.!
38,stiiizy-iheartjane,2020年5月11日,"Didnt  give a head change at all.
The flavor of it was terrible when I hit it taste like plastic"
39,stiiizy-iheartjane,2020年5月5日,Faaaaaadedd
40,stiiizy-iheartjane,2020年4月13日,Bonsai Has The Best Products
41,stiiizy-iheartjane,2023年9月6日,0 hard high but clears thoughts
42,stiiizy-iheartjane,2023年8月13日,Nice mellow energetic.
43,stiiizy-iheartjane,2023年6月22日,Very Nice
44,stiiizy-iheartjane,2023年2月10日,"0t only do I love Stiiizy products, Connected is the BOMB with customer service"
45,stiiizy-iheartjane,2022年12月3日,Awesome product
46,stiiizy-iheartjane,2022年11月27日,Stizzy pods are the best the 1gr carts seem to last longer than other 1gr carts
47,stiiizy-iheartjane,2022年3月29日,Great for relaxing and getting pain relief
48,stiiizy-iheartjane,2022年3月16日,"i feel high 20 seconds after hitting this one. this is my favorite stiiizy pod. try 0t to over eat before or after or you might feel very nauseous. that happens every to me often, since i use my pen around dinner time often."
49,stiiizy-iheartjane,2022年1月16日,Does the job
50,stiiizy-iheartjane,2021年9月15日,Great all around!
51,stiiizy-iheartjane,2021年8月13日,Good high
52,stiiizy-iheartjane,2021年4月10日,I didnâ€™t care for the taste too much and the high is okay.
53,stiiizy-iheartjane,2021年3月19日,Good indica
54,stiiizy-iheartjane,2021年2月2日,"gets the job done, i feel like they burn out quicker for some reason?"
55,stiiizy-iheartjane,2020年10月11日,Munchies Hardcore gives you that laid back high with an after effect of the total munchies!
56,stiiizy-iheartjane,2020年9月6日,Loved it
57,stiiizy-iheartjane,2020年7月3日,This cartridge is amazing i only need 1 hit to be good for the night and i have the best sleep of my life i wake up feeling relaxed and ready to start the day! The high isnt too intense just e0ugh for you to enjoy yourself and as well as being so concealable its amazing for an on the go high.
58,stiiizy-iheartjane,2020年6月29日,High was nice while it lasted I ended up burning through it in 2 days.
59,stiiizy-iheartjane,2020年5月11日,Vaping calms me down from pain and Iâ€™ve found this product to work real well.
60,stiiizy-iheartjane,2023年8月26日,I love stiiizy theyâ€™re the best I love stiiizyâ€™s blue dream cuz taste like berry! â¤ï¸
